length,pct,attack,impl,time_ms,cpu_ms
1000,0.1,homoglyph,homoglyphs,11.406,11.403
1000,0.1,homoglyph,decancer,0.050,0.049
1000,0.1,homoglyph,cpp,0.087,0.086
1000,0.2,homoglyph,homoglyphs,8.939,8.936
1000,0.2,homoglyph,decancer,0.051,0.050
1000,0.2,homoglyph,cpp,0.116,0.115
1000,0.3,homoglyph,homoglyphs,8.855,8.853
1000,0.3,homoglyph,decancer,0.054,0.053
1000,0.3,homoglyph,cpp,0.086,0.086
1000,0.4,homoglyph,homoglyphs,9.882,9.878
1000,0.4,homoglyph,decancer,0.058,0.058
1000,0.4,homoglyph,cpp,0.082,0.082
1000,0.5,homoglyph,homoglyphs,8.843,8.840
1000,0.5,homoglyph,decancer,0.060,0.059
1000,0.5,homoglyph,cpp,0.091,0.091
5000,0.1,homoglyph,homoglyphs,8.254,8.252
5000,0.1,homoglyph,decancer,0.258,0.257
5000,0.1,homoglyph,cpp,0.142,0.141
5000,0.2,homoglyph,homoglyphs,8.623,8.620
5000,0.2,homoglyph,decancer,0.279,0.279
5000,0.2,homoglyph,cpp,0.137,0.136
5000,0.3,homoglyph,homoglyphs,8.698,8.695
5000,0.3,homoglyph,decancer,0.312,0.311
5000,0.3,homoglyph,cpp,0.132,0.132
5000,0.4,homoglyph,homoglyphs,10.145,10.142
5000,0.4,homoglyph,decancer,0.335,0.335
5000,0.4,homoglyph,cpp,0.155,0.154
5000,0.5,homoglyph,homoglyphs,10.494,10.490
5000,0.5,homoglyph,decancer,0.355,0.354
5000,0.5,homoglyph,cpp,0.169,0.168
10000,0.1,homoglyph,homoglyphs,8.296,8.292
10000,0.1,homoglyph,decancer,0.534,0.533
10000,0.1,homoglyph,cpp,0.206,0.205
10000,0.2,homoglyph,homoglyphs,13.071,13.066
10000,0.2,homoglyph,decancer,0.596,0.595
10000,0.2,homoglyph,cpp,0.244,0.243
10000,0.3,homoglyph,homoglyphs,11.695,11.690
10000,0.3,homoglyph,decancer,0.651,0.650
10000,0.3,homoglyph,cpp,0.378,0.375
10000,0.4,homoglyph,homoglyphs,8.149,8.145
10000,0.4,homoglyph,decancer,0.640,0.639
10000,0.4,homoglyph,cpp,0.223,0.223
10000,0.5,homoglyph,homoglyphs,8.669,8.666
10000,0.5,homoglyph,decancer,0.683,0.682
10000,0.5,homoglyph,cpp,0.240,0.239
